steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
64066240,3994768,65.51,1787,0.0718,0.28069,20.653,3848,18924.6,4.41
64119792,3998115,66.01,1785,0.0718,0.2796,20.77,3882,19404.1,4.54
64172976,4001439,66.51,1773,0.0718,0.27993,20.781,3910,18255.2,4.35
64223616,4004604,67.01,1688,0.0718,0.28327,20.756,3939,19007.8,4.53
64267504,4007347,67.51,1463,0.0718,0.28203,20.859,3961,18225.5,4.36
64317568,4010476,68.01,1668,0.0718,0.27865,20.423,3995,18768.6,4.43
64367568,4013601,68.51,1666,0.0718,0.27179,20.44,4023,18103.4,4.29
64418768,4016801,69.01,1706,0.0718,0.2706,20.804,4055,17300.4,4.14
64468672,4019920,69.51,1663,0.0718,0.27512,20.64,4082,17478.7,4.2
64512432,4022655,70.01,1458,0.0718,0.27871,20.701,4112,18034.6,4.31
64562976,4025814,70.51,1684,0.0718,0.2733,20.132,4137,17764.8,4.28
64613296,4028959,71.01,1677,0.0718,0.27827,20.676,4167,18987.9,4.49
64666224,4032267,71.51,1764,0.0718,0.27984,20.586,4197,19628.3,4.52
64717744,4035487,72.01,1717,0.0718,0.27677,20.519,4227,19475.4,4.54
64762528,4038286,72.51,1493,0.0718,0.28582,20.346,4254,18725.6,4.35
64813328,4041461,73.01,1693,0.0718,0.28009,20.517,4282,18619.2,4.34
64864992,4044690,73.51,1722,0.0718,0.28366,20.646,4310,19570.4,4.48
64916816,4047929,74.01,1726,0.0718,0.29042,20.554,4337,19795.9,4.58
64968400,4051153,74.51,1719,0.0718,0.28752,20.747,4367,19242.5,4.48
65010128,4053761,75.01,1391,0.0718,0.28038,20.592,4393,19299.3,4.49
65025904,4054747,75.51,525,0.0718,0.27917,20.444,4399,19126.2,4.44
65071024,4057567,76.01,1504,0.0718,0.27875,20.63,4423,18997.3,4.45
65123280,4060833,76.51,1741,0.0718,0.2807,20.66,4454,19340.1,4.56
65175472,4064095,77.01,1740,0.0718,0.28066,20.402,4483,19611.1,4.63
65226576,4067289,77.51,1703,0.0718,0.28214,20.475,4513,18943.8,4.5
65269808,4069991,78.01,1441,0.0718,0.28826,20.697,4536,18816.5,4.45
65321584,4073227,78.51,1725,0.0718,0.28988,20.448,4567,19251.8,4.54
65372176,4076389,79.01,1686,0.0718,0.29206,20.413,4593,18868.5,4.5
65423936,4079624,79.51,1725,0.0718,0.28632,20.727,4626,18608.1,4.42
65476000,4082878,80.01,1735,0.0718,0.28689,20.424,4656,17668.8,4.15
65517008,4085441,80.51,1367,0.0718,0.28669,20.558,4685,18086.1,4.24
65568496,4088659,81.01,1716,0.0718,0.28873,20.634,4712,17811.7,4.18
65619440,4091843,81.51,1698,0.0718,0.28118,20.547,4739,17620.6,4.16
65671680,4095108,82.01,1741,0.0718,0.28259,20.673,4770,18600.4,4.33
65725360,4098463,82.51,1789,0.0718,0.28377,20.645,4805,19021.0,4.41
65770640,4101293,83.01,1509,0.0718,0.28577,20.851,4829,18879.2,4.4
65821936,4104499,83.51,1710,0.0718,0.28632,20.376,4857,18854.5,4.44
65874944,4107812,84.01,1767,0.0718,0.28701,20.452,4887,18546.4,4.42
65925664,4110982,84.51,1691,0.0718,0.28933,20.517,4916,19384.0,4.54
65978656,4114294,85.01,1766,0.0718,0.28548,20.599,4941,20206.3,4.67
66025312,4117210,85.51,1555,0.0718,0.28115,20.644,4969,19670.9,4.57
66076832,4120430,86.01,1717,0.0718,0.28382,20.328,5000,19126.2,4.44
66127696,4123609,86.51,1695,0.0718,0.28878,20.524,5031,18569.7,4.3
66178048,4126756,87.01,1678,0.0718,0.28967,20.425,5060,18954.5,4.29
66228576,4129914,87.51,1684,0.0718,0.29183,20.508,5086,18040.7,4.17
66268800,4132428,88.02,1341,0.0718,0.28727,20.573,5110,18535.8,4.24
66319296,4135584,88.52,1683,0.0718,0.28688,20.443,5139,19129.1,4.4
66370752,4138800,89.02,1715,0.0718,0.28458,20.565,5169,20050.2,4.59
66421776,4141989,89.52,1701,0.0718,0.28279,20.67,5198,18822.8,4.4
66471968,4145126,90.02,1673,0.0718,0.28144,20.339,5226,19284.8,4.5
66513472,4147720,90.52,1383,0.0718,0.27784,20.658,5251,19072.9,4.44
66564096,4150884,91.02,1687,0.0718,0.28165,20.351,5278,18863.8,4.41
66614160,4154013,91.52,1669,0.0718,0.28346,20.871,5303,19679.3,4.56
66664704,4157172,92.02,1685,0.0718,0.27809,20.472,5330,19920.0,4.61
66714752,4160300,92.52,1668,0.0718,0.27778,20.482,5357,20540.4,4.72
66753824,4162742,93.02,1302,0.0718,0.2792,20.457,5380,20401.9,4.7
66803760,4165863,93.52,1664,0.0718,0.27524,20.45,5407,20286.3,4.72
66852960,4168938,94.02,1640,0.0718,0.28067,20.419,5430,19265.2,4.53
66903792,4172115,94.52,1694,0.0718,0.28165,20.42,5461,19598.1,4.62
66955504,4175347,95.02,1723,0.0718,0.2774,20.427,5490,19765.1,4.62
67000016,4178129,95.53,1454,0.0718,0.2795,20.433,5519,19021.3,4.41
67051760,4181363,96.03,1724,0.0718,0.27683,20.326,5552,18265.5,4.22
67102352,4184525,96.53,1686,0.0718,0.27938,20.459,5576,18589.9,4.27
67153536,4187724,97.03,1706,0.0718,0.27984,20.353,5607,18539.2,4.3
67203536,4190849,97.53,1667,0.0718,0.2876,20.53,5639,18625.5,4.34
67250016,4193754,98.08,1411,0.0718,0.2816,20.252,5665,18172.8,4.23
67300624,4196917,98.58,1687,0.0718,0.28426,20.565,5692,18665.4,4.32
67351616,4200104,99.08,1700,0.0718,0.28071,20.529,5718,19519.7,4.42
67402912,4203310,99.58,1710,0.0718,0.2791,20.628,5746,19763.1,4.58
67454656,4206544,100.08,1725,0.0718,0.27981,20.586,5778,20062.7,4.66
